Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinIndia
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,"€ 41,850",N/A,"? 1,06,972"
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,"€ 33,990","£28,795","? 2,73,536"
Peugeot e-2008 SUV,Battery Electric Vehicle |       45 kWh,8.5 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€ 35,450","£30,730",N/A
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,280 km,231 Wh/km,470 km/h,All Wheel Drive,5,"€ 69,100","£60,600","? 2,87,479"
Porsche Taycan Turbo,Battery Electric Vehicle |       83.7 kWh,3.2 sec,260 km/h,400 km,209 Wh/km,840 km/h,All Wheel Drive,4,"€ 1,53,016","£115,860","? 1,41,432"
Smart EQ fortwo coupe,Battery Electric Vehicle |       16.7 kWh,11.6 sec,130 km/h,100 km,167 Wh/km,-,Rear Wheel Drive,2,"€ 18,460","£19,200","? 2,22,291"
Smart EQ fortwo cabrio,Battery Electric Vehicle |       16.7 kWh,11.9 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,2,"€ 21,720","£21,620","? 2,99,560"
Smart EQ forfour,Battery Electric Vehicle |       16.7 kWh,12.7 sec,130 km/h,95 km,176 Wh/km,-,Rear Wheel Drive,4,"€ 19,120","£19,795","? 2,88,153"
Honda e Advance,Battery Electric Vehicle |       28.5 kWh,8.3 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,"€ 38,000","£30,160","? 2,11,841"
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh,7.5 sec,190 km/h,325 km,222 Wh/km,420 km/h,Rear Wheel Drive,5,"€ 53,500","£50,000","? 2,90,370"
